timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1773669619072,3,后端请求压测-0,307,Temporary Redirect,线程组 1-1,,true,,147,171,3,3,http://127.0.0.1:8000/file,3,0,0
1773669619075,5,后端请求压测-1,200,OK,线程组 1-1,text,true,,361,172,3,3,http://127.0.0.1:8000/file/,5,0,0
1773669619073,8,后端请求压测,200,OK,线程组 1-3,text,true,,508,343,3,3,http://127.0.0.1:8000/file/,2,0,0
1773669619073,2,后端请求压测-0,307,Temporary Redirect,线程组 1-3,,true,,147,171,3,3,http://127.0.0.1:8000/file,2,0,0
1773669619075,6,后端请求压测-1,200,OK,线程组 1-3,text,true,,361,172,3,3,http://127.0.0.1:8000/file/,6,0,0
1773669619074,8,后端请求压测,200,OK,线程组 1-2,text,true,,508,343,3,3,http://127.0.0.1:8000/file/,2,0,0
1773669619074,2,后端请求压测-0,307,Temporary Redirect,线程组 1-2,,true,,147,171,3,3,http://127.0.0.1:8000/file,2,0,0
1773669619076,6,后端请求压测-1,200,OK,线程组 1-2,text,true,,361,172,3,3,http://127.0.0.1:8000/file/,6,0,0
1773669619081,7,后端请求压测,200,OK,线程组 1-3,text,true,,508,343,3,3,http://127.0.0.1:8000/file/,3,0,0
1773669619081,3,后端请求压测-0,307,Temporary Redirect,线程组 1-3,,true,,147,171,3,3,http://127.0.0.1:8000/file,3,0,0
1773669619084,4,后端请求压测-1,200,OK,线程组 1-3,text,true,,361,172,3,3,http://127.0.0.1:8000/file/,4,0,0
1773669619081,8,后端请求压测,200,OK,线程组 1-1,text,true,,508,343,3,3,http://127.0.0.1:8000/file/,2,0,0
1773669619081,2,后端请求压测-0,307,Temporary Redirect,线程组 1-1,,true,,147,171,3,3,http://127.0.0.1:8000/file,2,0,0
1773669619083,6,后端请求压测-1,200,OK,线程组 1-1,text,true,,361,172,3,3,http://127.0.0.1:8000/file/,6,0,0
1773669619082,8,后端请求压测,200,OK,线程组 1-2,text,true,,508,343,3,3,http://127.0.0.1:8000/file/,3,0,0
1773669619082,3,后端请求压测-0,307,Temporary Redirect,线程组 1-2,,true,,147,171,3,3,http://127.0.0.1:8000/file,3,0,0
1773669619085,5,后端请求压测-1,200,OK,线程组 1-2,text,true,,361,172,3,3,http://127.0.0.1:8000/file/,5,0,0
1773669619090,5,后端请求压测,200,OK,线程组 1-2,text,true,,508,343,3,3,http://127.0.0.1:8000/file/,2,0,0
1773669619090,2,后端请求压测-0,307,Temporary Redirect,线程组 1-2,,true,,147,171,3,3,http://127.0.0.1:8000/file,2,0,0
1773669619092,3,后端请求压测-1,200,OK,线程组 1-2,text,true,,361,172,3,3,http://127.0.0.1:8000/file/,3,0,0
1773669619089,7,后端请求压测,200,OK,线程组 1-3,text,true,,508,343,3,3,http://127.0.0.1:8000/file/,2,0,0
1773669619089,2,后端请求压测-0,307,Temporary Redirect,线程组 1-3,,true,,147,171,3,3,http://127.0.0.1:8000/file,2,0,0
1773669619091,5,后端请求压测-1,200,OK,线程组 1-3,text,true,,361,172,3,3,http://127.0.0.1:8000/file/,5,0,0
1773669619089,8,后端请求压测,200,OK,线程组 1-1,text,true,,508,343,3,3,http://127.0.0.1:8000/file/,3,0,0
1773669619089,3,后端请求压测-0,307,Temporary Redirect,线程组 1-1,,true,,147,171,3,3,http://127.0.0.1:8000/file,3,0,0
1773669619092,5,后端请求压测-1,200,OK,线程组 1-1,text,true,,361,172,3,3,http://127.0.0.1:8000/file/,5,0,0
